freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.686e+03,2.016e+02,3.259e+02,7.213e+03
1.3,3.565e+04,1.093e+03,1.543e+03,3.829e+04
2.6,4.187e+04,1.181e+03,1.815e+03,4.487e+04
3.9,4.546e+04,1.164e+03,2.193e+03,4.881e+04
5.2,5.778e+04,1.256e+03,2.087e+03,6.113e+04
6.5,5.594e+04,1.371e+03,1.921e+03,5.924e+04
7.8,4.879e+04,1.432e+03,2.163e+03,5.239e+04
9.1,4.131e+04,1.417e+03,1.972e+03,4.470e+04
10.4,4.490e+04,1.470e+03,1.949e+03,4.831e+04
11.6,5.289e+04,1.501e+03,1.866e+03,5.626e+04
12.9,5.936e+04,1.479e+03,2.391e+03,6.323e+04
14.2,6.933e+04,1.726e+03,3.162e+03,7.422e+04
15.5,7.310e+04,1.596e+03,3.185e+03,7.788e+04
16.8,7.773e+04,1.551e+03,2.704e+03,8.198e+04
18.1,7.916e+04,1.561e+03,2.934e+03,8.366e+04
19.4,1.005e+05,1.508e+03,3.303e+03,1.053e+05
20.7,1.076e+05,1.587e+03,3.605e+03,1.128e+05
22.0,1.202e+05,1.596e+03,6.140e+03,1.279e+05
23.3,1.244e+05,1.531e+03,7.168e+03,1.331e+05
24.6,1.246e+05,1.537e+03,6.096e+03,1.322e+05
25.9,1.324e+05,1.609e+03,5.504e+03,1.395e+05
27.2,1.412e+05,1.809e+03,4.969e+03,1.480e+05
28.5,1.527e+05,1.783e+03,4.753e+03,1.592e+05
29.8,1.491e+05,1.826e+03,4.209e+03,1.551e+05
31.1,1.525e+05,2.027e+03,4.231e+03,1.588e+05
32.4,1.529e+05,1.887e+03,3.864e+03,1.586e+05
33.6,1.507e+05,1.933e+03,4.494e+03,1.571e+05
34.9,1.460e+05,2.148e+03,4.134e+03,1.523e+05
36.2,1.442e+05,2.204e+03,3.417e+03,1.498e+05
37.5,1.494e+05,2.079e+03,3.194e+03,1.547e+05
38.8,1.552e+05,2.131e+03,3.346e+03,1.606e+05
40.1,1.485e+05,2.216e+03,3.262e+03,1.540e+05
41.4,1.407e+05,2.215e+03,2.908e+03,1.458e+05
42.7,1.344e+05,2.704e+03,2.834e+03,1.399e+05
44.0,1.253e+05,3.231e+03,2.971e+03,1.315e+05
45.3,1.413e+05,3.296e+03,3.271e+03,1.479e+05
46.6,1.554e+05,3.325e+03,3.192e+03,1.619e+05
47.9,1.639e+05,3.859e+03,3.443e+03,1.712e+05
49.2,1.613e+05,4.304e+03,3.650e+03,1.693e+05
50.5,1.898e+05,4.483e+03,4.105e+03,1.984e+05
51.8,2.035e+05,3.872e+03,4.318e+03,2.117e+05
53.1,2.077e+05,4.131e+03,4.983e+03,2.169e+05
54.4,2.377e+05,5.397e+03,6.207e+03,2.494e+05
55.6,2.603e+05,5.527e+03,6.398e+03,2.722e+05
56.9,3.432e+05,6.409e+03,8.130e+03,3.578e+05
58.2,4.439e+05,5.687e+03,9.686e+03,4.593e+05
59.5,5.982e+05,5.734e+03,1.232e+04,6.162e+05
60.8,6.788e+05,5.465e+03,1.611e+04,7.003e+05
62.1,7.769e+05,4.737e+03,2.462e+04,8.062e+05
63.4,1.224e+06,5.303e+03,5.609e+04,1.286e+06
64.7,1.462e+06,5.240e+03,8.422e+04,1.551e+06
66.0,1.587e+06,5.674e+03,1.071e+05,1.699e+06
67.3,1.795e+06,7.046e+03,1.334e+05,1.936e+06
68.6,1.883e+06,5.735e+03,1.575e+05,2.046e+06
69.9,1.790e+06,8.048e+03,1.378e+05,1.936e+06
71.2,1.707e+06,9.901e+03,8.155e+04,1.798e+06
72.5,1.415e+06,1.052e+04,3.652e+04,1.462e+06
73.8,1.245e+06,1.313e+04,1.822e+04,1.276e+06
75.1,1.143e+06,1.434e+04,1.460e+04,1.172e+06
76.3,9.561e+05,1.618e+04,1.238e+04,9.847e+05
77.6,7.616e+05,2.042e+04,1.287e+04,7.949e+05
78.9,6.643e+05,1.975e+04,1.533e+04,6.993e+05
80.2,6.889e+05,1.992e+04,1.613e+04,7.249e+05
81.5,5.609e+05,1.755e+04,1.189e+04,5.903e+05
82.8,4.736e+05,1.502e+04,8.440e+03,4.971e+05
84.1,4.595e+05,1.443e+04,6.489e+03,4.805e+05
85.4,3.648e+05,1.344e+04,5.348e+03,3.836e+05
86.7,2.920e+05,1.286e+04,5.119e+03,3.100e+05
88.0,2.749e+05,1.382e+04,6.337e+03,2.951e+05
89.3,2.476e+05,1.310e+04,6.772e+03,2.675e+05
90.6,2.353e+05,1.209e+04,7.699e+03,2.550e+05
91.9,2.857e+05,1.578e+04,1.074e+04,3.122e+05
93.2,2.797e+05,1.745e+04,1.207e+04,3.092e+05
94.5,2.736e+05,1.974e+04,1.390e+04,3.073e+05
