freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.163e+01,7.569e+02,6.967e+03,7.805e+03
1.3,4.794e+02,5.185e+03,3.830e+04,4.396e+04
2.6,5.453e+02,7.465e+03,5.797e+04,6.598e+04
3.9,5.390e+02,6.675e+03,6.051e+04,6.772e+04
5.2,5.388e+02,6.125e+03,5.984e+04,6.650e+04
6.5,5.806e+02,6.048e+03,7.889e+04,8.552e+04
7.8,5.427e+02,4.998e+03,6.998e+04,7.552e+04
9.1,5.433e+02,5.557e+03,6.027e+04,6.637e+04
10.4,5.870e+02,5.744e+03,6.575e+04,7.208e+04
11.7,5.534e+02,5.409e+03,5.888e+04,6.484e+04
13.0,5.571e+02,5.471e+03,5.584e+04,6.187e+04
14.3,6.050e+02,5.668e+03,5.892e+04,6.520e+04
15.6,6.734e+02,6.281e+03,6.476e+04,7.172e+04
16.9,5.835e+02,6.056e+03,6.217e+04,6.881e+04
18.2,5.760e+02,5.714e+03,6.326e+04,6.955e+04
19.5,6.917e+02,5.863e+03,5.907e+04,6.562e+04
20.8,7.648e+02,6.310e+03,6.166e+04,6.874e+04
22.1,7.007e+02,7.002e+03,5.911e+04,6.681e+04
23.4,6.625e+02,7.601e+03,6.873e+04,7.699e+04
24.7,6.128e+02,7.781e+03,8.264e+04,9.104e+04
26.0,6.182e+02,6.507e+03,7.738e+04,8.450e+04
27.3,6.377e+02,6.329e+03,7.407e+04,8.104e+04
28.6,6.419e+02,7.645e+03,8.892e+04,9.721e+04
29.9,6.737e+02,9.691e+03,9.031e+04,1.007e+05
31.2,6.878e+02,1.050e+04,9.962e+04,1.108e+05
32.5,7.756e+02,1.201e+04,1.147e+05,1.275e+05
33.8,8.292e+02,1.308e+04,1.447e+05,1.587e+05
35.1,8.535e+02,1.185e+04,1.746e+05,1.873e+05
36.4,1.012e+03,1.131e+04,2.146e+05,2.269e+05
37.7,1.165e+03,1.050e+04,2.312e+05,2.429e+05
39.0,1.195e+03,1.291e+04,3.069e+05,3.210e+05
40.3,1.324e+03,1.524e+04,4.186e+05,4.352e+05
41.6,1.257e+03,1.452e+04,5.548e+05,5.705e+05
42.9,1.060e+03,1.253e+04,5.080e+05,5.216e+05
44.2,1.160e+03,1.391e+04,7.262e+05,7.413e+05
45.5,1.716e+03,1.812e+04,1.582e+06,1.602e+06
46.8,2.175e+03,2.250e+04,2.180e+06,2.204e+06
48.1,2.514e+03,2.691e+04,3.064e+06,3.093e+06
49.4,1.936e+03,2.200e+04,2.469e+06,2.493e+06
50.7,1.626e+03,1.646e+04,1.729e+06,1.747e+06
52.0,1.583e+03,1.560e+04,1.388e+06,1.405e+06
53.3,1.628e+03,1.375e+04,8.847e+05,9.000e+05
54.6,1.770e+03,1.528e+04,8.883e+05,9.053e+05
55.9,1.760e+03,1.912e+04,7.379e+05,7.587e+05
57.2,1.618e+03,2.220e+04,6.619e+05,6.857e+05
58.5,1.750e+03,2.415e+04,6.146e+05,6.405e+05
59.8,2.094e+03,2.187e+04,5.938e+05,6.178e+05
61.1,1.839e+03,2.285e+04,5.148e+05,5.395e+05
62.4,1.954e+03,2.822e+04,4.544e+05,4.846e+05
63.8,1.535e+03,2.646e+04,2.994e+05,3.274e+05
65.1,1.760e+03,2.802e+04,3.603e+05,3.901e+05
66.4,2.189e+03,3.376e+04,4.636e+05,4.995e+05
67.7,2.340e+03,4.955e+04,5.431e+05,5.950e+05
69.0,2.249e+03,5.340e+04,5.873e+05,6.430e+05
70.3,2.035e+03,6.096e+04,3.701e+05,4.331e+05
71.6,2.239e+03,8.881e+04,3.764e+05,4.674e+05
72.9,2.325e+03,1.052e+05,2.962e+05,4.037e+05
74.2,3.264e+03,1.136e+05,1.626e+05,2.794e+05
75.5,4.338e+03,1.107e+05,1.450e+05,2.601e+05
76.8,4.550e+03,9.848e+04,1.275e+05,2.305e+05
78.1,3.275e+03,6.784e+04,1.062e+05,1.773e+05
79.4,2.923e+03,5.373e+04,9.246e+04,1.491e+05
80.7,2.846e+03,4.656e+04,8.016e+04,1.296e+05
82.0,3.599e+03,4.622e+04,7.509e+04,1.249e+05
83.3,3.076e+03,3.887e+04,6.392e+04,1.059e+05
84.6,3.189e+03,3.659e+04,6.692e+04,1.067e+05
85.9,4.155e+03,4.023e+04,7.423e+04,1.186e+05
87.2,3.894e+03,3.947e+04,7.316e+04,1.165e+05
88.5,4.999e+03,3.877e+04,8.568e+04,1.294e+05
89.8,6.044e+03,3.599e+04,8.736e+04,1.294e+05
91.1,5.749e+03,3.636e+04,8.362e+04,1.257e+05
92.4,4.688e+03,3.557e+04,8.573e+04,1.260e+05
93.7,3.660e+03,3.347e+04,7.280e+04,1.099e+05
95.0,3.602e+03,4.013e+04,8.556e+04,1.293e+05
96.3,3.340e+03,4.136e+04,7.411e+04,1.188e+05
97.6,3.347e+03,5.573e+04,9.108e+04,1.502e+05
98.9,3.910e+03,6.584e+04,1.028e+05,1.725e+05
100.2,4.240e+03,6.153e+04,9.281e+04,1.586e+05
101.5,5.401e+03,7.862e+04,1.093e+05,1.933e+05
102.8,5.663e+03,7.422e+04,8.991e+04,1.698e+05
104.1,5.574e+03,6.665e+04,7.530e+04,1.475e+05
105.4,6.249e+03,8.605e+04,9.179e+04,1.841e+05
106.7,5.981e+03,9.459e+04,9.117e+04,1.917e+05
108.0,5.861e+03,1.098e+05,9.643e+04,2.121e+05
109.3,5.603e+03,1.475e+05,1.205e+05,2.737e+05
110.6,6.715e+03,1.750e+05,1.221e+05,3.039e+05
111.9,7.400e+03,1.778e+05,1.075e+05,2.927e+05
113.2,7.075e+03,1.805e+05,9.631e+04,2.839e+05
114.5,8.268e+03,2.404e+05,1.084e+05,3.571e+05
115.8,6.133e+03,2.126e+05,8.288e+04,3.016e+05
117.1,7.882e+03,2.189e+05,7.124e+04,2.981e+05
118.4,5.887e+03,1.209e+05,4.457e+04,1.713e+05
119.7,6.029e+03,1.164e+05,4.146e+04,1.639e+05
121.0,5.678e+03,9.135e+04,2.916e+04,1.262e+05
122.3,5.773e+03,5.372e+04,2.118e+04,8.067e+04
123.6,4.383e+03,5.247e+04,1.926e+04,7.611e+04
124.9,3.682e+03,4.465e+04,1.871e+04,6.703e+04
126.2,4.181e+03,4.106e+04,1.800e+04,6.324e+04
127.5,3.913e+03,4.082e+04,2.053e+04,6.526e+04
128.8,3.269e+03,2.990e+04,2.091e+04,5.408e+04
130.1,2.598e+03,2.407e+04,2.062e+04,4.728e+04
131.4,2.612e+03,1.814e+04,1.903e+04,3.978e+04
132.7,2.258e+03,1.608e+04,1.643e+04,3.477e+04
134.0,2.170e+03,1.359e+04,1.475e+04,3.051e+04
135.3,2.695e+03,1.154e+04,1.517e+04,2.940e+04
136.6,2.392e+03,1.186e+04,1.853e+04,3.277e+04
137.9,2.439e+03,1.248e+04,2.077e+04,3.569e+04
139.2,2.428e+03,1.404e+04,2.123e+04,3.770e+04
140.5,2.568e+03,1.470e+04,1.930e+04,3.657e+04
141.8,2.451e+03,1.412e+04,1.915e+04,3.572e+04
143.1,3.287e+03,1.536e+04,1.934e+04,3.799e+04
144.4,3.830e+03,1.679e+04,2.045e+04,4.108e+04
145.7,3.315e+03,1.403e+04,1.801e+04,3.535e+04
147.0,2.918e+03,1.317e+04,1.841e+04,3.451e+04
148.3,2.815e+03,1.257e+04,1.661e+04,3.199e+04
149.6,2.792e+03,1.278e+04,1.522e+04,3.079e+04
150.9,2.603e+03,1.139e+04,1.351e+04,2.750e+04
152.2,2.863e+03,1.256e+04,1.446e+04,2.988e+04
153.5,2.496e+03,1.251e+04,1.445e+04,2.946e+04
154.8,2.642e+03,9.977e+03,1.353e+04,2.615e+04
156.1,2.891e+03,1.061e+04,1.461e+04,2.810e+04
157.4,2.436e+03,9.977e+03,1.277e+04,2.518e+04
158.7,2.668e+03,9.475e+03,1.112e+04,2.327e+04
160.0,2.617e+03,8.396e+03,1.142e+04,2.243e+04
161.3,2.655e+03,6.130e+03,1.097e+04,1.976e+04
162.6,3.003e+03,5.197e+03,1.103e+04,1.923e+04
163.9,3.471e+03,6.064e+03,1.137e+04,2.090e+04
165.2,4.092e+03,4.845e+03,1.065e+04,1.958e+04
166.5,3.714e+03,5.230e+03,1.072e+04,1.966e+04
167.8,4.487e+03,5.124e+03,1.159e+04,2.120e+04
169.1,4.698e+03,4.961e+03,1.125e+04,2.091e+04
170.4,4.528e+03,4.966e+03,1.095e+04,2.044e+04
171.7,5.656e+03,4.791e+03,1.338e+04,2.382e+04
173.0,5.749e+03,4.015e+03,1.430e+04,2.407e+04
174.3,8.193e+03,4.785e+03,1.888e+04,3.186e+04
175.6,9.784e+03,5.660e+03,2.196e+04,3.740e+04
176.9,9.328e+03,4.717e+03,2.169e+04,3.573e+04
178.2,1.265e+04,5.020e+03,2.262e+04,4.029e+04
179.5,1.155e+04,5.115e+03,1.914e+04,3.581e+04
180.8,1.285e+04,6.089e+03,2.052e+04,3.945e+04
182.1,1.464e+04,6.839e+03,2.222e+04,4.369e+04
183.4,2.281e+04,7.099e+03,2.690e+04,5.680e+04
184.7,2.460e+04,6.885e+03,2.767e+04,5.916e+04
186.0,2.356e+04,6.846e+03,2.846e+04,5.887e+04
187.3,3.113e+04,7.421e+03,3.635e+04,7.490e+04
188.7,3.354e+04,7.698e+03,3.641e+04,7.765e+04
190.0,3.655e+04,8.295e+03,3.611e+04,8.095e+04
191.3,4.577e+04,9.747e+03,4.503e+04,1.006e+05
192.6,5.787e+04,1.188e+04,5.460e+04,1.243e+05
193.9,3.428e+04,9.216e+03,3.274e+04,7.624e+04
195.2,4.657e+04,1.132e+04,4.169e+04,9.958e+04
196.5,4.504e+04,1.134e+04,4.111e+04,9.750e+04
197.8,4.541e+04,1.085e+04,3.981e+04,9.607e+04
199.1,4.342e+04,1.084e+04,3.708e+04,9.134e+04
